SF,Binomen,Genus ,TL ,Latitude 
C,Agkistrodon bilineatus,Agkistrodon,1380,1763761
C,Agkistrodon contortrix,Agkistrodon,1346,1301714
C,Agkistrodon piscivorus,Agkistrodon,1846,1482779
C,Agkistrodon taylori,Agkistrodon,960,609897
V,Atheris acuminata,Atheris,440,71829
V,Atheris barbouri,Atheris,400,179179
V,Atheris broadleyi,Atheris,768,549494
V,Atheris ceratophora,Atheris,550,624544
V,Atheris chlorechis,Atheris,700,1268540
V,Atheris desaixi,Atheris,700,124974
V,Atheris hirsuta,Atheris,480,94283
V,Atheris hispida,Atheris,700,814034
V,Atheris katangensis,Atheris,400,112565
V,Atheris mabuensis,Atheris,390,51827
V,Atheris matildae,Atheris,643,61604
V,Atheris nitschei,Atheris,750,821968
V,Atheris rungweensis,Atheris,650,683764
V,Atheris squamigera,Atheris,800,1585575
V,Atheris subocularis,Atheris,500,93242
C,Atropoides indomitus,Atropoides,573,17751
C,Atropoides mexicanus,Atropoides,979,986601
C,Atropoides nummifer,Atropoides,695,475068
C,Atropoides occiduus,Atropoides,795,205780
C,Atropoides olmec,Atropoides,770,234652
C,Atropoides picadoi,Atropoides,1202,210627
A,Azemiops feae,Azemiops,980,844544
V,Bitis albanica,Bitis,300,26849
V,Bitis arietans,Bitis,1800,6832738
V,Bitis armata,Bitis,420,160249
V,Bitis atropos,Bitis,600,1763983
V,Bitis caudalis,Bitis,500,1635613
V,Bitis cornuta,Bitis,500,677070
V,Bitis gabonica,Bitis,1750,3888834
V,Bitis heraldica,Bitis,405,733773
V,Bitis inornata,Bitis,450,58530
V,Bitis nasicornis,Bitis,1200,1660877
V,Bitis parviocula,Bitis,1000,284207
V,Bitis peringueyi,Bitis,300,1172606
V,Bitis rhinoceros,Bitis,2000,630864
V,Bitis rubida,Bitis,410,212028
V,Bitis schneideri,Bitis,255,498229
V,Bitis worthingtoni,Bitis,500,139441
V,Bitis xeropaga,Bitis,610,350755
C,Bothriechis aurifer,Bothriechis,1010,131380
C,Bothriechis bicolor,Bothriechis,1000,132974
C,Bothriechis lateralis,Bothriechis,1000,293748
C,Bothriechis marchi,Bothriechis,1040,101385
C,Bothriechis nigroviridis,Bothriechis,937,182327
C,Bothriechis rowleyi,Bothriechis,973,54471
C,Bothriechis schlegelii,Bothriechis,979,2365700
C,Bothriechis supraciliaris,Bothriechis,800,56110
